,csrf_token,viewer,viewer_id,country_code,language_code,locale,device_id,browser_push_pub_key,key_id,public_key,version,is_dev,rollout_hash,bundle_variant,frontend_dev,id,shortcode,height,width,gating_info,fact_check_overall_rating,fact_check_information,sensitivity_friction_info,media_overlay_info,media_preview,display_url,accessibility_caption,is_video,tracking_token,tagged_users,caption,caption_is_edited,has_ranked_comments,comments,comments_disabled,commenting_disabled_for_viewer,timestamp,likes,location,viewer_has_liked,viewer_has_saved,viewer_has_saved_to_collection,viewer_in_photo_of_you,viewer_can_reshare,video_url,has_audio,video_view_count,username,full_name,upload_date,hashtags
0,nvx20q8AxB3xkjFZmR94ggUTLAFD56ne,,,US,en,en_US,AE58DAF3-DAC7-4BAE-90AD-E016FE756195,BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI,135,fb24c16e06499cb8c237c316779504af0bd28615da04de02fefb3477cb124531,10,False,90a6d6e2692d,es6,prod,2464400392143616246,CIzTxmGDbj2,360,640,,,,,,ACoXwtpPCirMVpK3OCPr/wDXrQhEiDCD6nGT+dO2yu2CckdieKqwim1ttO1zzgd/8P8AGmmNFOMfXirfIYqSFx3UD9OlROF7Ek9yaoVvMgyo6CottXZAhA8tSMdSe/8AhQJyOy/kP8KNwtYi+19Sc81Xe43HK8GiisbdTQsJcqSMjp1Hr/8ArqZ5DkSABQemOlFFaIkWXzVXc/RuOtMEJIzkc/X/AAooqidkvNI//9k=,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/131031354_2053611818106183_8030981091892810079_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=fQYzaC3e-UYAX-n08D4&tp=1&oh=63726c7097e592fa893f200171c9c72d&oe=5FDC992C,,True,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMWZjODEzYzBlZDhjNDA1Nzg1ZWJmOWVlMmE1NzRmYTMyNDY0NDAwMzkyMTQzNjE2MjQ2In0sInNpZ25hdHVyZSI6IiJ9,[],"Joe Biden is the projected winner of the 2020 US Presidential Election. (Sources: Reuters/NEP/Edison, others)",False,False,8568,False,True,1607999457,179999,Information icon.,False,False,False,False,True,https://scontent-lga3-1.cdninstagram.com/v/t50.2886-16/131539958_439623540756965_659532154460061377_n.mp4?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=ZN9uFW6fYawAX-NYGIw&oe=5FDCB752&oh=6f0c58821a04651b244df40e2cd72512,True,1067351.0,realdonaldtrump,President Donald J. Trump,2020-12-14 21:30:57,[]
1,VNzTx1ukTu0ahRzOb4VUyzAtyUhgIATb,,,US,en,en_US,E66A9A0D-EBD5-420C-9EE0-0D82D8491583,BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI,135,fb24c16e06499cb8c237c316779504af0bd28615da04de02fefb3477cb124531,10,False,90a6d6e2692d,es6,prod,2462896803644904071,CIt95gLsxKH,1080,1080,,,,,,ACoqq7G27z+efXigLUysNgzyB19+M0u8dgBTAgxSYp+e9SrNgEYzn2oArLGz8Dp3qExyA4q2ZTjb09eOo9KgeTLHHqaYEsbr04P1468etRtIAcHCgcEden+eKYsBWVQRkHnHf/8AXT5rY7gccE8/iT9foKi4x7yJE7I/OFJU56+n4n0NR+eq5AI+YDGfQ/yPqaj1CMqwfGMjH4j/ABpLuIIU2rjPHPfn6+9MQ9ZwjAnBUg4zz/k56fnU65YAgDBGe1VrxNqrkHO5ue2DzjFTxxHaPvdB6en1ov1AtAEuH9On5YqYjeQScYIPfnHIquCanBNYk3EnjE23J+6wbpTZ4RKVbP3DnGDzUuaaTQBBOvnLtPHf8qRcqAPQYpzE0oNPyA//2Q==,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/131198195_228497572003079_4768534755943864228_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=bY9IxHy3ArYAX_2vR8O&tp=1&oh=4b0d28e604f170c59e4b01739f6ff588&oe=60048807,"Photo by President Donald J. Trump in West Point - The U.S. Military Academy. Image may contain: 1 person, standing and outdoor.",False,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiODEwZGRmNTJkNjQxNDgxN2IzZjJhMDQzYmI5NTY4M2EyNDYyODk2ODAzNjQ0OTA0MDcxIn0sInNpZ25hdHVyZSI6IiJ9,[],Hurrah for our President 🇺🇸,False,False,32693,False,True,1607820199,1746674,West Point - The U.S. Military Academy,False,False,False,False,True,,,,realdonaldtrump,President Donald J. Trump,2020-12-12 19:43:19,[]
2,jkpfF25fnjpfXmuKH45GMOheA0z1sn3H,,,US,en,en_US,C1193EBF-161C-4A2D-86F5-76DEE1EF9B9A,BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI,135,fb24c16e06499cb8c237c316779504af0bd28615da04de02fefb3477cb124531,10,False,90a6d6e2692d,es6,prod,2462891664405956303,CIt8ut5MAbP,720,1080,,,,,,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/131320756_176981340777721_1666598915781217875_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=9THLMFbDjwQAX9suJhh&tp=1&oh=c6cf816a331ab150d6068092ad4d3829&oe=6005976E,"Photo by President Donald J. Trump on December 12, 2020. Image may contain: one or more people and outdoor.",False,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMzA0ODQ3ODEwOTc0NGRmYzhiMzZhNGJhMTZjZDRlYjgyNDYyODkxNjY0NDA1OTU2MzAzIn0sInNpZ25hdHVyZSI6IiJ9,[],"#Repost @whitehouse
・・・
President @realdonaldtrump departs for the Army-Navy football game at @westpoint_usma! 🏈🇺🇸",False,False,6680,False,True,1607819587,591430,The White House,False,False,False,False,True,,,,realdonaldtrump,President Donald J. Trump,2020-12-12 19:33:07,['Repost']
3,lOq57p4ANdmZxIjIZ0qm8spbxIbrzAEK,,,US,en,en_US,1650F241-2464-4F15-B566-9C6A320A1F22,BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI,135,fb24c16e06499cb8c237c316779504af0bd28615da04de02fefb3477cb124531,10,False,90a6d6e2692d,es6,prod,2462237637731057908,CIroBYFjoD0,853,480,,,,,,ABcq0oiIQzLyrkMuPcc/405bhc7fU1nLOI08onPzfL6j296TeEYMx4GDyevNZX2NrXuW76RUYZOGx8oAyTzz+nP4UVTvm+0FXTKsucfjRV6MhXWhjhsHI7VoXTKwJ/vPzgDptyMe2e341mrk4XBye1WZoZEA3KRxj15/Cqe6BbP5fmRpIVIwaKiAJPNFDVxJ2NSzlMcbcAgsOe/Q8fSg3b5+Uc+pNUUJ6e9TScDjioepaGXXzyE9M4z9cDNFRE5PNFMk/9k=,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/130299496_1021274108282962_8531748220288858714_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=sIcf9YFvDNIAX8BIulI&tp=1&oh=31658e67ae0723c0958c830312afba33&oe=5FDC4879,,True,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiNTM1YjZjOWY5NGIwNDNmNWFjNTJhZmM0ODg4ZDAxMDYyNDYyMjM3NjM3NzMxMDU3OTA4In0sInNpZ25hdHVyZSI6IiJ9,[],"Joe Biden is the projected winner of the 2020 US Presidential Election. (Sources: Reuters/NEP/Edison, others)",False,False,35429,False,True,1607742661,736044,Information icon.,False,False,False,False,True,https://scontent-lga3-1.cdninstagram.com/v/t50.2886-16/10000000_408812103575331_629634785924771317_n.mp4?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=1Q-mAdvtnqkAX84ubzf&oe=5FDC9A4E&oh=d55115d5b77d17e72a93b50629e15fd4,True,4856621.0,realdonaldtrump,President Donald J. Trump,2020-12-11 22:11:01,[]
4,2GSs9npM16Ca02vU18uHEEqOfkXrnefz,,,US,en,en_US,9D3B6100-11DA-4930-87AC-A313D85D1D58,BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI,135,fb24c16e06499cb8c237c316779504af0bd28615da04de02fefb3477cb124531,10,False,90a6d6e2692d,es6,prod,2462137337779281012,CIrRN0ej1x0,421,750,,,,,,ACoXz9NQ+erD/wCtXRRjYpXG4o5HHoeR+FYOmKwnXIIHPUV0W0eaVPSRQfxU4/limhFO9bfbuoBzgEfmK5mSIqQT/Een8/1rsbiJY4WPPQdTnvXLlwXHm/KqnJ47HjOPY4oYD4ownAxjGahaRcnkdfX/AOtTZZuoU56jNVsCkM3UnI7/AKf/AF6e0pYg7iMd8c8+lFFVcmxMbpumTVWVklOWGTjGfb0oooAg8qH+6KPLj9KKKQz/2Q==,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/131259154_5177175958974173_2937599738448328121_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=6MI_yKtX5s0AX8r4X5k&tp=1&oh=30c18c2704588bfe399d91ea06f1c4e1&oe=5FDC8F55,,True,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiZTAyOGQ4MzllZDdjNGQzNDkxNWZkY2U5YmUxMTc5MjIyNDYyMTM3MzM3Nzc5MjgxMDEyIn0sInNpZ25hdHVyZSI6IiJ9,[],"Joe Biden is the projected winner of the 2020 US Presidential Election. (Sources: Reuters/NEP/Edison, others)",False,False,9070,False,True,1607729681,291318,Information icon.,False,False,False,False,True,https://scontent-lga3-1.cdninstagram.com/v/t50.2886-16/131342251_410629726952706_6157465904471983570_n.mp4?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=jmtk4nGJT5kAX-lSy3Q&oe=5FDCD883&oh=9d9b012e5e25417eb6dc25e8056f1759,True,1362498.0,realdonaldtrump,President Donald J. Trump,2020-12-11 18:34:41,[]
5,qujHZUIJGt5lchUtJHnybwNXI1LLQI27,,,US,en,en_US,14B2859E-34EB-4163-9AF6-107F67046CB7,BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI,135,fb24c16e06499cb8c237c316779504af0bd28615da04de02fefb3477cb124531,10,False,90a6d6e2692d,es6,c1f,2462124619298944183,CIrOUveDrS3,421,750,,,,,,ACoXx1jyPWlaMDtVyKPnIG4Y7/8A1iORRFA8zhF/E9gPU/55rM0LGlxoTzyQTx9RW2sapwoC5549aqxWwgYsOFXn68c/QVJb3QuIxIOM5GD7VqtDNkrCoc05nqvvpkFIajH0wTjJPv2FJFfiNztX72B9O/8AWiioNW77lpLm4JJYKB2xVYb4gwUgKWLBQPXt0/8ArUUUCWhG0gYl+54P4VH9of1ooouB/9k=,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/130191911_111873494090933_3961208639673735821_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=qWF4SXyAULQAX98MnUH&tp=1&oh=a9ddc9c2eb4c9a695ee8c337df017667&oe=5FDCC4B4,,True,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMzU3ZjViOTk5YmE2NGFmYWIzN2Y2YjZkNDQyMzY5YTgyNDYyMTI0NjE5Mjk4OTQ0MTgzIn0sInNpZ25hdHVyZSI6IiJ9,[],"Joe Biden is the projected winner of the 2020 US Presidential Election. (Sources: Reuters/NEP/Edison, others)",False,False,6995,False,True,1607728208,264740,Information icon.,False,False,False,False,True,https://scontent-lga3-1.cdninstagram.com/v/t50.2886-16/125239289_3041264559444711_5965935560587929123_n.mp4?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=xssfukN0gU0AX_6bCVt&oe=5FDC8C7C&oh=41c2d93d44f2b4c252367c679b5a2c5a,True,980660.0,realdonaldtrump,President Donald J. Trump,2020-12-11 18:10:08,[]
6,TeTrb1ypZIpUspLvZcITzOaYbthOJKnO,,,US,en,en_US,D01C6051-989C-49C4-BF48-51DD1DCCF011,BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI,135,fb24c16e06499cb8c237c316779504af0bd28615da04de02fefb3477cb124531,10,False,90a6d6e2692d,es6,prod,2462049314943290256,CIq9M60sEuQ,1080,1080,,,,,,ACoqoyq237u0oATjuCAFPPPNQcjI79eOtBLNznPPU+vXr7j2pN+Bu7njHbA7/gf160xijK9fQj8fWnxwtKQVAAOFPzAZPXPJ9M+1MVsrjv8ArjH9aYTjGemOff8Az2oAcEABKn5s4x6j1/xprtJuOcA5PAp8xy24AhfcAcdO1R/P2xj6ikBeCkZUgEdD649vx6d6VYT0bB4yfT8B/h+VSZB68fgOSMjjPXinYDFW6Y7Zzjnr1zk9aVy7ETgvzgLx0GPz9ecc1EYxuBIPPb39z6jsPapWuERtuSWyPm6fp06dfSiRFToc5zxnPJz7YwOvHagCAQ5PJzxzjn1/+tx9anW2jwMkg4560r/3BjJ5Bz0wecnGD3PU+3JpdkXYMfwFIdiCO3uc7tjMMfxD2p80Uo2tsKlRlskHJ5yevp29qptK7dWJ5j6k9wc/nUAJI/D/ANmqrEc3QV8hiMYyf59K1cbhtUKDyOGUDBP8/espR84+o/nV24RQGwAOPT3o3EnYBp8z8jn6EH+RpPsVyOx/Jv8ACq54VSODhufwq4sjYHJ6epp2C5//2Q==,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/130308243_401811027917392_2899130373308029166_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=Hwug3aizB8oAX_6x1lO&tp=1&oh=fb32230cdc1dbd0d495ed704ab80a4d9&oe=6005A933,"Photo by President Donald J. Trump on December 11, 2020. Image may contain: 18 people, crowd and outdoor. If the Supreme Court shows great Wisdom and Courage, the American People will win perhaps the most important case in history, and our Electoral Process will be respected again!",False,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiZDNlOWEyYmI1M2Q4NDY0MzlhNjkyMWU1YzQ1ZmYzNjIyNDYyMDQ5MzE0OTQzMjkwMjU2In0sInNpZ25hdHVyZSI6IiJ9,[],"Joe Biden is the projected winner of the 2020 US Presidential Election. (Sources: Reuters/NEP/Edison, others)",False,False,14306,False,True,1607719171,659250,Information icon.,False,False,False,False,True,,,,realdonaldtrump,President Donald J. Trump,2020-12-11 15:39:31,[]
7,gOpiRVXU9NcSF4escGNLtUAT5OTItfCS,,,US,en,en_US,78814D7B-F5F1-4820-B14C-1C35CC0ABE39,BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI,135,fb24c16e06499cb8c237c316779504af0bd28615da04de02fefb3477cb124531,10,False,90a6d6e2692d,es6,prod,2462047968580208362,CIq85U7Mgbq,1080,1080,,,,,,ACoqkW1hUZKqMewNOtpVnXdgLgkAdwB/ntWZ/aDqPuhqbausIJcEDrgH19T/AExTEX/M9/1qOEESAlyRzxz/AI01LheX58o8YJ7+nr+OKa19Eo5j9vvZpalt3LrtuIKNtAPI65/wrmmYZP1/z3rSN/D2jx+P/wBam/bov+eY/T/CqIK8RB68GpJdyjOMhSCefyqAKAM7l/X/AApsh46g/Q0gJBLlDvz8xJ49f8mo/vLj05piHJ+lPj4PFUNu/wBy/Ir0uKsSMp4II/Cq1ICTDEdOKd5T7d+Pl9a0QKe3T8Kz5hGSvAoyR2/nSDpVu3UFTkZ5/pWj0Aqkk9v50n4fzq+FGOgpdo9BU3A//9k=,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/130542011_759757657955025_7557742740275521_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=sPcpFt4ru7AAX9X9oUn&tp=1&oh=acb2864699bd2547b0c259ed4c332aa0&oe=600482C2,"Photo by President Donald J. Trump in The White House. Image may contain: 1 person, suit. If the two Senators from Georgia should lose, which would be a horrible thing for our Country, I am the only thing that stands between “Packing the Court” (last number heard, 25), and preserving it. I will not, under any circumstances, Pack the Court!",False,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiNjI2ODZhNjhmNjE1NGExODhkNzRlZjBmNjk4Mzg1ZTYyNDYyMDQ3OTY4NTgwMjA4MzYyIn0sInNpZ25hdHVyZSI6IiJ9,[],"If the two Senators from Georgia should lose, which would be a horrible thing for our Country, I am the only thing that stands between “Packing the Court” (last number heard, 25), and preserving it. I will not, under any circumstances, Pack the Court!",False,False,12698,False,True,1607719010,876192,The White House,False,False,False,False,True,,,,realdonaldtrump,President Donald J. Trump,2020-12-11 15:36:50,[]
8,Kk9Bphtudf8QHePAQsJjx4pZgZAnIWt0,,,US,en,en_US,12388FF5-D1D7-4CD1-8CB6-2F7D1CF4725B,BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI,135,fb24c16e06499cb8c237c316779504af0bd28615da04de02fefb3477cb124531,10,False,90a6d6e2692d,es6,prod,2461347309056874412,CIodlY5Mtes,1080,1080,,,,,,ACoqfJcfaEZl3ArgHPYknoOvTrmmWQYvgknIPXNUo53Z2bAy+ASc/TOev555q5BK0QZuCqDAI5OW9fXpz7VhKLvptp1NovQ0i3lSBj93nPf8asGTzx+7JwPw6f0rn5XeRQkrYU45Xjg9sf07UkTvChjHO0fyOfm55GTj156UKLStfrt/wf8AgBfyJ7pmaRiS3HueK1UU7R9BXPyTOQSMYOOQD2x0/PBzTWu3JJwnJ9G/xqORlOSKiSMT8vTGf6Gnhii/N91uFIPT3/LI5+vale2Mblc/KT8pP4+vXGMe9M8rbw59Ofc54/AjHf14rpMCXfhQATvBJz26Z49x61CspQEt/F68n3oKBMndnHBz2POPUdufy71DvHXqQOD/AICgDQjkibYkmQgHIA7kknpznGOfwqv5hHRciq+7bz/Ef5f4mm+YfWgdzStZI2B+0Zb5lIHJx97d0B4JI4GCex4qeM2i7QwJAAB+VuWBUlx1zn5gehIGMdM5CH5T9RUWTmmSbaG14ZlyCPmUBs8KwPPT5mwQQeO+KUG2ABI5UksQjYZcttUZ6cbc5xxxu4OajcY+v9DQx4I7YNRzGnKOne02MI+XIO04IHLggdOoXIznGBjrWfj6VHWmFGOlNuxKVz//2Q==,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/130846977_2596982050557115_4116005725993661430_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=tju6ofH4_OAAX_W-A-Q&tp=1&oh=0e9c7c86ad683eebcbdd42596a48bcab&oe=60048F9F,"Photo by President Donald J. Trump in The White House. Image may contain: one or more people, text that says 'HAPPY HANUKKAH FROM PRESIDENT DONALD J. TRUMP'. During this holiday season, the First Lady and I send our warmest greetings to the millions of Jewish people in the United States and around the world as they begin the celebration of Hanukkah and the miracle that kept the flames of the menorah burning in the Second Temple for eight nights.

The candle-lighting tradition that began over 2,000 years ago is rooted in perseverance and faith—two virtues that are indicative of the Jewish culture and the Jewish faith.

This year’s observance of the Festival of Lights comes at a time when the unbreakable bond between the United States and Israel has never been stronger.  Over the past four years, my Administration has stood in unwavering solidarity with the Jewish people. In recent months, we brokered historic peace deals between Israel and major Arab countries, including the United Arab Emirates, Bahrain, and Sudan, ushering in unprecedented opportunities for enhancing stability and prosperity in the region. As we enter this season of celebration and reflection, we must continue to build on this progress and work toward a brighter and more secure future in the Middle East and around the world.

Over the next eight days, families and friends will gather to carry on the time-honored tradition of lighting the menorah.  The First Lady and I wish you all a joyous celebration. Happy Hanukkah!",False,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMmU0MjA3YWVkYTUwNGIwZWFjN2U1N2U1Mzc4MzI2NGUyNDYxMzQ3MzA5MDU2ODc0NDEyIn0sInNpZ25hdHVyZSI6IiJ9,[],"During this holiday season, the First Lady and I send our warmest greetings to the millions of Jewish people in the United States and around the world as they begin the celebration of Hanukkah and the miracle that kept the flames of the menorah burning in the Second Temple for eight nights.

The candle-lighting tradition that began over 2,000 years ago is rooted in perseverance and faith—two virtues that are indicative of the Jewish culture and the Jewish faith.

This year’s observance of the Festival of Lights comes at a time when the unbreakable bond between the United States and Israel has never been stronger.  Over the past four years, my Administration has stood in unwavering solidarity with the Jewish people. In recent months, we brokered historic peace deals between Israel and major Arab countries, including the United Arab Emirates, Bahrain, and Sudan, ushering in unprecedented opportunities for enhancing stability and prosperity in the region. As we enter this season of celebration and reflection, we must continue to build on this progress and work toward a brighter and more secure future in the Middle East and around the world.

Over the next eight days, families and friends will gather to carry on the time-honored tradition of lighting the menorah.  The First Lady and I wish you all a joyous celebration. Happy Hanukkah!",False,False,9157,False,True,1607635485,370955,The White House,False,False,False,False,True,,,,realdonaldtrump,President Donald J. Trump,2020-12-10 16:24:45,[]
9,wDJNpb5fash6ta87Os6IiNTswNthVS7b,,,US,en,en_US,6CBF2B81-0AEC-49B2-91F8-6D9C13E59271,BIBn3E_rWTci8Xn6P9Xj3btShT85Wdtne0LtwNUyRQ5XjFNkuTq9j4MPAVLvAFhXrUU1A9UxyxBA7YIOjqDIDHI,135,fb24c16e06499cb8c237c316779504af0bd28615da04de02fefb3477cb124531,10,False,90a6d6e2692d,es6,prod,2461192831020066435,CIn6dcAsGaD,480,480,,,,,,ACoq5vFWpbQxoHJJzjscc+jdD7jg1XHJq1POJmBQeXxzznJz29PQfSgCrsPoaXyz6GrsVpLKu4EBTwCTjP0qKaEwNskJDDt/+qgCvsPpRsPpSnb6mk+X3oAQGhcfWn/N7Cm7KYG5bSg23+5xjuOSevUZ7H61n3TlpMrgjA598c9eetQwMwcKOjYBHqM5xVvUIESViOjYcD2bn+ealKzLesV9xSJb2puW9RTfl9DRx6GqID5fenDHQVFUlICzZxmSXI/gBY/QcfzNPvpMyfQAfqf8alsOkv8AuD/0IVUuvv8A4Cl1NV8D/wAS/JlfzGo3mm0UzI//2Q==,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/e35/130678164_868417350365442_7032903642279280726_n.jpg?_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=GQYybi_-VkoAX-C1Oka&tp=1&oh=e9e04872b2de08acb1678906ff358896&oe=60031246,Photo by President Donald J. Trump in The White House. Image may contain: 1 person. Another HISTORIC breakthrough today! Our two GREAT friends Israel and the Kingdom of Morocco have agreed to full diplomatic relations – a massive breakthrough for peace in the Middle East!,False,eyJ2ZXJzaW9uIjo1LCJwYXlsb2FkIjp7ImlzX2FuYWx5dGljc190cmFja2VkIjp0cnVlLCJ1dWlkIjoiMjUxNTAxZDVjZmFmNDlhNDhhOTIzYTJmMDdkZTM4YzYyNDYxMTkyODMxMDIwMDY2NDM1In0sInNpZ25hdHVyZSI6IiJ9,[],Another HISTORIC breakthrough today! Our two GREAT friends Israel and the Kingdom of Morocco have agreed to full diplomatic relations – a massive breakthrough for peace in the Middle East!,False,False,21539,False,True,1607617070,1032324,The White House,False,False,False,False,True,,,,realdonaldtrump,President Donald J. Trump,2020-12-10 11:17:50,[]
